ticket_description,category,priority
"Laptop overheats after long usage intermittently throughout the day, this is a affects productivity issue (ticket 8218)",Hardware,Medium
"Battery drains unusually fast for multiple users in the same department, this is a needs attention issue (ticket 8219)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a needs attention issue (ticket 8220)",Hardware,Medium
"Laptop overheats after long usage intermittently throughout the day, this is a needs attention issue (ticket 8221)",Hardware,Medium
"Monitor screen keeps flickering after recent configuration changes, this is a blocking operations issue (ticket 8222)",Hardware,High
"Hard disk failure warning appears on the office laptop, this is a occasionally issue (ticket 8223)",Hardware,Low
"Monitor screen keeps flickering when connected to office network, this is a low impact issue (ticket 8224)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a minor issue (ticket 8225)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a moderate impact issue (ticket 8226)",Hardware,Medium
"Hard disk failure warning appears on the office laptop, this is a minor issue (ticket 8227)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a affects productivity issue (ticket 8228)",Hardware,Medium
"Monitor screen keeps flickering since this morning, this is a minor issue (ticket 8229)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a needs attention issue (ticket 8230)",Hardware,Medium
"Printer does not respond to commands intermittently throughout the day, this is a needs attention issue (ticket 8231)",Hardware,Medium
"Printer does not respond to commands after recent configuration changes, this is a affects productivity issue (ticket 8232)",Hardware,Medium
"Monitor screen keeps flickering on the office laptop, this is a moderate impact issue (ticket 8233)",Hardware,Medium
"Hard disk failure warning appears since this morning, this is a critical issue issue (ticket 8234)",Hardware,High
"Battery drains unusually fast reported by several employees, this is a minor issue (ticket 8235)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a needs attention issue (ticket 8236)",Hardware,Medium
"Battery drains unusually fast during peak working hours, this is a system down issue (ticket 8237)",Hardware,High
"Printer does not respond to commands after the latest system update, this is a moderate impact issue (ticket 8238)",Hardware,Medium
"Printer does not respond to commands affecting critical business operations, this is a moderate impact issue (ticket 8239)",Hardware,Medium
"Printer does not respond to commands on the office laptop, this is a low impact issue (ticket 8240)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a occasionally issue (ticket 8241)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a low impact issue (ticket 8242)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a affects productivity issue (ticket 8243)",Hardware,Medium
"Printer does not respond to commands intermittently throughout the day, this is a critical issue issue (ticket 8244)",Hardware,High
"Monitor screen keeps flickering since this morning, this is a needs attention issue (ticket 8245)",Hardware,Medium
"Monitor screen keeps flickering when connected to office network, this is a moderate impact issue (ticket 8246)",Hardware,Medium
"Hardware device not recognized by system after the latest system update, this is a occasionally issue (ticket 8247)",Hardware,Low
"Printer does not respond to commands since this morning, this is a occasionally issue (ticket 8248)",Hardware,Low
"Battery drains unusually fast after recent configuration changes, this is a minor issue (ticket 8249)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a non-critical issue (ticket 8250)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a needs attention issue (ticket 8251)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a minor issue (ticket 8252)",Hardware,Low
"Hard disk failure warning appears affecting critical business operations, this is a minor issue (ticket 8253)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a low impact issue (ticket 8254)",Hardware,Low
"Printer does not respond to commands after recent configuration changes, this is a urgent issue (ticket 8255)",Hardware,High
"Laptop overheats after long usage for multiple users in the same department, this is a non-critical issue (ticket 8256)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a low impact issue (ticket 8257)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a non-critical issue (ticket 8258)",Hardware,Low
"Printer does not respond to commands since this morning, this is a blocking operations issue (ticket 8259)",Hardware,High
"Printer does not respond to commands affecting critical business operations, this is a needs attention issue (ticket 8260)",Hardware,Medium
"Monitor screen keeps flickering during peak working hours, this is a urgent issue (ticket 8261)",Hardware,High
"Hardware device not recognized by system after recent configuration changes, this is a critical issue issue (ticket 8262)",Hardware,High
"Hard disk failure warning appears for multiple users in the same department, this is a minor issue (ticket 8263)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a needs attention issue (ticket 8264)",Hardware,Medium
"Several keyboard keys are not functioning for multiple users in the same department, this is a minor issue (ticket 8265)",Hardware,Low
"Printer does not respond to commands since this morning, this is a blocking operations issue (ticket 8266)",Hardware,High
"Several keyboard keys are not functioning reported by several employees, this is a critical issue issue (ticket 8267)",Hardware,High
"Battery drains unusually fast since this morning, this is a non-critical issue (ticket 8268)",Hardware,Low
"Hard disk failure warning appears intermittently throughout the day, this is a affects productivity issue (ticket 8269)",Hardware,Medium
"Several keyboard keys are not functioning after recent configuration changes, this is a needs attention issue (ticket 8270)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a occasionally issue (ticket 8271)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a moderate impact issue (ticket 8272)",Hardware,Medium
"Hard disk failure warning appears during peak working hours, this is a affects productivity issue (ticket 8273)",Hardware,Medium
"Hardware device not recognized by system when connected to office network, this is a non-critical issue (ticket 8274)",Hardware,Low
"Printer does not respond to commands after recent configuration changes, this is a affects productivity issue (ticket 8275)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a minor issue (ticket 8276)",Hardware,Low
"Several keyboard keys are not functioning intermittently throughout the day, this is a urgent issue (ticket 8277)",Hardware,High
"Monitor screen keeps flickering intermittently throughout the day, this is a minor issue (ticket 8278)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a affects productivity issue (ticket 8279)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a moderate impact issue (ticket 8280)",Hardware,Medium
"Printer does not respond to commands on the office laptop, this is a needs attention issue (ticket 8281)",Hardware,Medium
"Hard disk failure warning appears after recent configuration changes, this is a low impact issue (ticket 8282)",Hardware,Low
"Several keyboard keys are not functioning for multiple users in the same department, this is a low impact issue (ticket 8283)",Hardware,Low
"Several keyboard keys are not functioning since this morning, this is a non-critical issue (ticket 8284)",Hardware,Low
"Several keyboard keys are not functioning affecting critical business operations, this is a minor issue (ticket 8285)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a needs attention issue (ticket 8286)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a non-critical issue (ticket 8287)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a blocking operations issue (ticket 8288)",Hardware,High
"Battery drains unusually fast for multiple users in the same department, this is a low impact issue (ticket 8289)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a low impact issue (ticket 8290)",Hardware,Low
"Several keyboard keys are not functioning affecting critical business operations, this is a moderate impact issue (ticket 8291)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a low impact issue (ticket 8292)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a low impact issue (ticket 8293)",Hardware,Low
"Hardware device not recognized by system intermittently throughout the day, this is a affects productivity issue (ticket 8294)",Hardware,Medium
"Laptop overheats after long usage after the latest system update, this is a minor issue (ticket 8295)",Hardware,Low
"Several keyboard keys are not functioning on the office laptop, this is a urgent issue (ticket 8296)",Hardware,High
"Laptop overheats after long usage intermittently throughout the day, this is a low impact issue (ticket 8297)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a minor issue (ticket 8298)",Hardware,Low
"Battery drains unusually fast intermittently throughout the day, this is a moderate impact issue (ticket 8299)",Hardware,Medium
"Laptop overheats after long usage for multiple users in the same department, this is a occasionally issue (ticket 8300)",Hardware,Low
"Hardware device not recognized by system affecting critical business operations, this is a critical issue issue (ticket 8301)",Hardware,High
"Monitor screen keeps flickering during peak working hours, this is a low impact issue (ticket 8302)",Hardware,Low
"Laptop overheats after long usage affecting critical business operations, this is a system down issue (ticket 8303)",Hardware,High
"Several keyboard keys are not functioning reported by several employees, this is a non-critical issue (ticket 8304)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a moderate impact issue (ticket 8305)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a affects productivity issue (ticket 8306)",Hardware,Medium
"Hard disk failure warning appears during peak working hours, this is a low impact issue (ticket 8307)",Hardware,Low
"Hard disk failure warning appears reported by several employees, this is a non-critical issue (ticket 8308)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a occasionally issue (ticket 8309)",Hardware,Low
"Several keyboard keys are not functioning for multiple users in the same department, this is a affects productivity issue (ticket 8310)",Hardware,Medium
"Monitor screen keeps flickering affecting critical business operations, this is a needs attention issue (ticket 8311)",Hardware,Medium
"Several keyboard keys are not functioning during peak working hours, this is a low impact issue (ticket 8312)",Hardware,Low
"Several keyboard keys are not functioning after recent configuration changes, this is a non-critical issue (ticket 8313)",Hardware,Low
"Laptop overheats after long usage on the office laptop, this is a critical issue issue (ticket 8314)",Hardware,High
"Printer does not respond to commands since this morning, this is a needs attention issue (ticket 8315)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a affects productivity issue (ticket 8316)",Hardware,Medium
"Monitor screen keeps flickering during peak working hours, this is a affects productivity issue (ticket 8317)",Hardware,Medium
"Battery drains unusually fast reported by several employees, this is a low impact issue (ticket 8318)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a minor issue (ticket 8319)",Hardware,Low
"Hardware device not recognized by system affecting critical business operations, this is a moderate impact issue (ticket 8320)",Hardware,Medium
"Laptop overheats after long usage during peak working hours, this is a system down issue (ticket 8321)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a blocking operations issue (ticket 8322)",Hardware,High
"Battery drains unusually fast reported by several employees, this is a non-critical issue (ticket 8323)",Hardware,Low
"Battery drains unusually fast after recent configuration changes, this is a occasionally issue (ticket 8324)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a system down issue (ticket 8325)",Hardware,High
"Monitor screen keeps flickering during peak working hours, this is a occasionally issue (ticket 8326)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a affects productivity issue (ticket 8327)",Hardware,Medium
"Hardware device not recognized by system affecting critical business operations, this is a needs attention issue (ticket 8328)",Hardware,Medium
"Laptop overheats after long usage intermittently throughout the day, this is a system down issue (ticket 8329)",Hardware,High
"Several keyboard keys are not functioning intermittently throughout the day, this is a needs attention issue (ticket 8330)",Hardware,Medium
"Hardware device not recognized by system reported by several employees, this is a needs attention issue (ticket 8331)",Hardware,Medium
"Monitor screen keeps flickering after recent configuration changes, this is a non-critical issue (ticket 8332)",Hardware,Low
"Hard disk failure warning appears since this morning, this is a needs attention issue (ticket 8333)",Hardware,Medium
"Hardware device not recognized by system since this morning, this is a blocking operations issue (ticket 8334)",Hardware,High
"Hard disk failure warning appears during peak working hours, this is a low impact issue (ticket 8335)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a occasionally issue (ticket 8336)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a urgent issue (ticket 8337)",Hardware,High
"Hardware device not recognized by system when connected to office network, this is a low impact issue (ticket 8338)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a moderate impact issue (ticket 8339)",Hardware,Medium
"Hard disk failure warning appears reported by several employees, this is a minor issue (ticket 8340)",Hardware,Low
"Hard disk failure warning appears for multiple users in the same department, this is a occasionally issue (ticket 8341)",Hardware,Low
"Hardware device not recognized by system after recent configuration changes, this is a low impact issue (ticket 8342)",Hardware,Low
"Laptop overheats after long usage reported by several employees, this is a system down issue (ticket 8343)",Hardware,High
"Printer does not respond to commands during peak working hours, this is a needs attention issue (ticket 8344)",Hardware,Medium
"Battery drains unusually fast reported by several employees, this is a occasionally issue (ticket 8345)",Hardware,Low
"Hardware device not recognized by system when connected to office network, this is a critical issue issue (ticket 8346)",Hardware,High
"Laptop overheats after long usage when connected to office network, this is a occasionally issue (ticket 8347)",Hardware,Low
"Hard disk failure warning appears after recent configuration changes, this is a minor issue (ticket 8348)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a low impact issue (ticket 8349)",Hardware,Low
"Hard disk failure warning appears on the office laptop, this is a minor issue (ticket 8350)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a blocking operations issue (ticket 8351)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a minor issue (ticket 8352)",Hardware,Low
"Several keyboard keys are not functioning intermittently throughout the day, this is a minor issue (ticket 8353)",Hardware,Low
"Hard disk failure warning appears for multiple users in the same department, this is a non-critical issue (ticket 8354)",Hardware,Low
"Hard disk failure warning appears for multiple users in the same department, this is a blocking operations issue (ticket 8355)",Hardware,High
"Hard disk failure warning appears reported by several employees, this is a low impact issue (ticket 8356)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a urgent issue (ticket 8357)",Hardware,High
"Printer does not respond to commands for multiple users in the same department, this is a needs attention issue (ticket 8358)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a minor issue (ticket 8359)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a blocking operations issue (ticket 8360)",Hardware,High
"Hardware device not recognized by system after recent configuration changes, this is a minor issue (ticket 8361)",Hardware,Low
"Hard disk failure warning appears after recent configuration changes, this is a system down issue (ticket 8362)",Hardware,High
"Battery drains unusually fast after recent configuration changes, this is a non-critical issue (ticket 8363)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a critical issue issue (ticket 8364)",Hardware,High
"Hard disk failure warning appears affecting critical business operations, this is a minor issue (ticket 8365)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a needs attention issue (ticket 8366)",Hardware,Medium
"Hardware device not recognized by system since this morning, this is a urgent issue (ticket 8367)",Hardware,High
"Printer does not respond to commands since this morning, this is a minor issue (ticket 8368)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a non-critical issue (ticket 8369)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a non-critical issue (ticket 8370)",Hardware,Low
"Several keyboard keys are not functioning on the office laptop, this is a non-critical issue (ticket 8371)",Hardware,Low
"Battery drains unusually fast reported by several employees, this is a moderate impact issue (ticket 8372)",Hardware,Medium
"Monitor screen keeps flickering intermittently throughout the day, this is a system down issue (ticket 8373)",Hardware,High
"Printer does not respond to commands during peak working hours, this is a moderate impact issue (ticket 8374)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a needs attention issue (ticket 8375)",Hardware,Medium
"Several keyboard keys are not functioning since this morning, this is a critical issue issue (ticket 8376)",Hardware,High
"Monitor screen keeps flickering reported by several employees, this is a moderate impact issue (ticket 8377)",Hardware,Medium
"Printer does not respond to commands after the latest system update, this is a low impact issue (ticket 8378)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a moderate impact issue (ticket 8379)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a needs attention issue (ticket 8380)",Hardware,Medium
"Several keyboard keys are not functioning during peak working hours, this is a system down issue (ticket 8381)",Hardware,High
"Printer does not respond to commands for multiple users in the same department, this is a moderate impact issue (ticket 8382)",Hardware,Medium
"Several keyboard keys are not functioning for multiple users in the same department, this is a moderate impact issue (ticket 8383)",Hardware,Medium
"Battery drains unusually fast after the latest system update, this is a system down issue (ticket 8384)",Hardware,High
"Hardware device not recognized by system affecting critical business operations, this is a blocking operations issue (ticket 8385)",Hardware,High
"Hardware device not recognized by system intermittently throughout the day, this is a system down issue (ticket 8386)",Hardware,High
"Hardware device not recognized by system reported by several employees, this is a low impact issue (ticket 8387)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a moderate impact issue (ticket 8388)",Hardware,Medium
"Laptop overheats after long usage for multiple users in the same department, this is a affects productivity issue (ticket 8389)",Hardware,Medium
"Monitor screen keeps flickering reported by several employees, this is a minor issue (ticket 8390)",Hardware,Low
"Hardware device not recognized by system after recent configuration changes, this is a blocking operations issue (ticket 8391)",Hardware,High
"Hard disk failure warning appears since this morning, this is a non-critical issue (ticket 8392)",Hardware,Low
"Monitor screen keeps flickering affecting critical business operations, this is a needs attention issue (ticket 8393)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a blocking operations issue (ticket 8394)",Hardware,High
"Printer does not respond to commands after the latest system update, this is a minor issue (ticket 8395)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a low impact issue (ticket 8396)",Hardware,Low
"Battery drains unusually fast reported by several employees, this is a affects productivity issue (ticket 8397)",Hardware,Medium
"Monitor screen keeps flickering for multiple users in the same department, this is a low impact issue (ticket 8398)",Hardware,Low
"Several keyboard keys are not functioning reported by several employees, this is a moderate impact issue (ticket 8399)",Hardware,Medium
"Hard disk failure warning appears since this morning, this is a non-critical issue (ticket 8400)",Hardware,Low
"Battery drains unusually fast intermittently throughout the day, this is a minor issue (ticket 8401)",Hardware,Low
"Hardware device not recognized by system on the office laptop, this is a affects productivity issue (ticket 8402)",Hardware,Medium
"Monitor screen keeps flickering after the latest system update, this is a affects productivity issue (ticket 8403)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a blocking operations issue (ticket 8404)",Hardware,High
"Battery drains unusually fast reported by several employees, this is a urgent issue (ticket 8405)",Hardware,High
"Monitor screen keeps flickering after the latest system update, this is a moderate impact issue (ticket 8406)",Hardware,Medium
"Laptop overheats after long usage intermittently throughout the day, this is a occasionally issue (ticket 8407)",Hardware,Low
"Hard disk failure warning appears since this morning, this is a minor issue (ticket 8408)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a moderate impact issue (ticket 8409)",Hardware,Medium
"Laptop overheats after long usage during peak working hours, this is a blocking operations issue (ticket 8410)",Hardware,High
"Laptop overheats after long usage when connected to office network, this is a low impact issue (ticket 8411)",Hardware,Low
"Several keyboard keys are not functioning affecting critical business operations, this is a non-critical issue (ticket 8412)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a affects productivity issue (ticket 8413)",Hardware,Medium
"Several keyboard keys are not functioning during peak working hours, this is a critical issue issue (ticket 8414)",Hardware,High
"Laptop overheats after long usage affecting critical business operations, this is a moderate impact issue (ticket 8415)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a needs attention issue (ticket 8416)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a critical issue issue (ticket 8417)",Hardware,High
"Hardware device not recognized by system affecting critical business operations, this is a blocking operations issue (ticket 8418)",Hardware,High
"Several keyboard keys are not functioning on the office laptop, this is a affects productivity issue (ticket 8419)",Hardware,Medium
"Laptop overheats after long usage since this morning, this is a non-critical issue (ticket 8420)",Hardware,Low
"Printer does not respond to commands during peak working hours, this is a needs attention issue (ticket 8421)",Hardware,Medium
"Battery drains unusually fast on the office laptop, this is a needs attention issue (ticket 8422)",Hardware,Medium
"Hardware device not recognized by system intermittently throughout the day, this is a blocking operations issue (ticket 8423)",Hardware,High
"Laptop overheats after long usage reported by several employees, this is a minor issue (ticket 8424)",Hardware,Low
"Hardware device not recognized by system affecting critical business operations, this is a affects productivity issue (ticket 8425)",Hardware,Medium
"Laptop overheats after long usage when connected to office network, this is a minor issue (ticket 8426)",Hardware,Low
"Printer does not respond to commands when connected to office network, this is a critical issue issue (ticket 8427)",Hardware,High
"Hard disk failure warning appears when connected to office network, this is a occasionally issue (ticket 8428)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a low impact issue (ticket 8429)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a needs attention issue (ticket 8430)",Hardware,Medium
"Printer does not respond to commands on the office laptop, this is a occasionally issue (ticket 8431)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a needs attention issue (ticket 8432)",Hardware,Medium
"Hardware device not recognized by system after recent configuration changes, this is a minor issue (ticket 8433)",Hardware,Low
"Hardware device not recognized by system on the office laptop, this is a minor issue (ticket 8434)",Hardware,Low
"Battery drains unusually fast reported by several employees, this is a moderate impact issue (ticket 8435)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a occasionally issue (ticket 8436)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a critical issue issue (ticket 8437)",Hardware,High
"Several keyboard keys are not functioning when connected to office network, this is a system down issue (ticket 8438)",Hardware,High
"Hard disk failure warning appears reported by several employees, this is a non-critical issue (ticket 8439)",Hardware,Low
"Hardware device not recognized by system after the latest system update, this is a urgent issue (ticket 8440)",Hardware,High
"Several keyboard keys are not functioning reported by several employees, this is a non-critical issue (ticket 8441)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a needs attention issue (ticket 8442)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a blocking operations issue (ticket 8443)",Hardware,High
"Hardware device not recognized by system affecting critical business operations, this is a minor issue (ticket 8444)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a occasionally issue (ticket 8445)",Hardware,Low
"Several keyboard keys are not functioning since this morning, this is a minor issue (ticket 8446)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a low impact issue (ticket 8447)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a urgent issue (ticket 8448)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a moderate impact issue (ticket 8449)",Hardware,Medium
"Hardware device not recognized by system since this morning, this is a needs attention issue (ticket 8450)",Hardware,Medium
"Battery drains unusually fast after the latest system update, this is a moderate impact issue (ticket 8451)",Hardware,Medium
"Hard disk failure warning appears reported by several employees, this is a non-critical issue (ticket 8452)",Hardware,Low
"Printer does not respond to commands during peak working hours, this is a affects productivity issue (ticket 8453)",Hardware,Medium
"Battery drains unusually fast for multiple users in the same department, this is a system down issue (ticket 8454)",Hardware,High
"Hard disk failure warning appears after the latest system update, this is a occasionally issue (ticket 8455)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a minor issue (ticket 8456)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a non-critical issue (ticket 8457)",Hardware,Low
"Laptop overheats after long usage affecting critical business operations, this is a affects productivity issue (ticket 8458)",Hardware,Medium
"Printer does not respond to commands intermittently throughout the day, this is a low impact issue (ticket 8459)",Hardware,Low
"Hard disk failure warning appears on the office laptop, this is a moderate impact issue (ticket 8460)",Hardware,Medium
"Several keyboard keys are not functioning reported by several employees, this is a blocking operations issue (ticket 8461)",Hardware,High
"Hardware device not recognized by system reported by several employees, this is a non-critical issue (ticket 8462)",Hardware,Low
"Laptop overheats after long usage reported by several employees, this is a system down issue (ticket 8463)",Hardware,High
"Monitor screen keeps flickering after recent configuration changes, this is a minor issue (ticket 8464)",Hardware,Low
"Laptop overheats after long usage during peak working hours, this is a affects productivity issue (ticket 8465)",Hardware,Medium
"Hard disk failure warning appears after recent configuration changes, this is a low impact issue (ticket 8466)",Hardware,Low
"Several keyboard keys are not functioning intermittently throughout the day, this is a low impact issue (ticket 8467)",Hardware,Low
"Hardware device not recognized by system when connected to office network, this is a occasionally issue (ticket 8468)",Hardware,Low
"Monitor screen keeps flickering affecting critical business operations, this is a occasionally issue (ticket 8469)",Hardware,Low
"Several keyboard keys are not functioning on the office laptop, this is a minor issue (ticket 8470)",Hardware,Low
"Printer does not respond to commands since this morning, this is a occasionally issue (ticket 8471)",Hardware,Low
"Laptop overheats after long usage affecting critical business operations, this is a moderate impact issue (ticket 8472)",Hardware,Medium
"Several keyboard keys are not functioning for multiple users in the same department, this is a system down issue (ticket 8473)",Hardware,High
"Printer does not respond to commands after recent configuration changes, this is a occasionally issue (ticket 8474)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a low impact issue (ticket 8475)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a affects productivity issue (ticket 8476)",Hardware,Medium
"Several keyboard keys are not functioning after recent configuration changes, this is a low impact issue (ticket 8477)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a affects productivity issue (ticket 8478)",Hardware,Medium
"Several keyboard keys are not functioning since this morning, this is a affects productivity issue (ticket 8479)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a minor issue (ticket 8480)",Hardware,Low
"Printer does not respond to commands for multiple users in the same department, this is a low impact issue (ticket 8481)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a occasionally issue (ticket 8482)",Hardware,Low
"Hard disk failure warning appears reported by several employees, this is a affects productivity issue (ticket 8483)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a occasionally issue (ticket 8484)",Hardware,Low
"Printer does not respond to commands intermittently throughout the day, this is a minor issue (ticket 8485)",Hardware,Low
"Battery drains unusually fast since this morning, this is a non-critical issue (ticket 8486)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a moderate impact issue (ticket 8487)",Hardware,Medium
"Monitor screen keeps flickering affecting critical business operations, this is a moderate impact issue (ticket 8488)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a occasionally issue (ticket 8489)",Hardware,Low
"Several keyboard keys are not functioning since this morning, this is a low impact issue (ticket 8490)",Hardware,Low
"Laptop overheats after long usage after recent configuration changes, this is a occasionally issue (ticket 8491)",Hardware,Low
"Monitor screen keeps flickering since this morning, this is a occasionally issue (ticket 8492)",Hardware,Low
"Laptop overheats after long usage on the office laptop, this is a moderate impact issue (ticket 8493)",Hardware,Medium
"Several keyboard keys are not functioning for multiple users in the same department, this is a low impact issue (ticket 8494)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a needs attention issue (ticket 8495)",Hardware,Medium
"Hardware device not recognized by system reported by several employees, this is a minor issue (ticket 8496)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a low impact issue (ticket 8497)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a low impact issue (ticket 8498)",Hardware,Low
"Hardware device not recognized by system when connected to office network, this is a moderate impact issue (ticket 8499)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a occasionally issue (ticket 8500)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a non-critical issue (ticket 8501)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a blocking operations issue (ticket 8502)",Hardware,High
"Laptop overheats after long usage when connected to office network, this is a low impact issue (ticket 8503)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a needs attention issue (ticket 8504)",Hardware,Medium
"Monitor screen keeps flickering intermittently throughout the day, this is a affects productivity issue (ticket 8505)",Hardware,Medium
"Monitor screen keeps flickering during peak working hours, this is a needs attention issue (ticket 8506)",Hardware,Medium
"Several keyboard keys are not functioning reported by several employees, this is a system down issue (ticket 8507)",Hardware,High
"Printer does not respond to commands since this morning, this is a needs attention issue (ticket 8508)",Hardware,Medium
"Laptop overheats after long usage during peak working hours, this is a non-critical issue (ticket 8509)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a needs attention issue (ticket 8510)",Hardware,Medium
"Printer does not respond to commands reported by several employees, this is a blocking operations issue (ticket 8511)",Hardware,High
"Laptop overheats after long usage on the office laptop, this is a occasionally issue (ticket 8512)",Hardware,Low
"Battery drains unusually fast intermittently throughout the day, this is a occasionally issue (ticket 8513)",Hardware,Low
"Battery drains unusually fast after the latest system update, this is a minor issue (ticket 8514)",Hardware,Low
"Monitor screen keeps flickering affecting critical business operations, this is a system down issue (ticket 8515)",Hardware,High
"Hard disk failure warning appears after recent configuration changes, this is a affects productivity issue (ticket 8516)",Hardware,Medium
"Monitor screen keeps flickering for multiple users in the same department, this is a moderate impact issue (ticket 8517)",Hardware,Medium
"Hardware device not recognized by system for multiple users in the same department, this is a needs attention issue (ticket 8518)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a moderate impact issue (ticket 8519)",Hardware,Medium
"Several keyboard keys are not functioning reported by several employees, this is a minor issue (ticket 8520)",Hardware,Low
"Laptop overheats after long usage during peak working hours, this is a system down issue (ticket 8521)",Hardware,High
"Hardware device not recognized by system intermittently throughout the day, this is a low impact issue (ticket 8522)",Hardware,Low
